Battery,FromToID,cycle_number,cycle_start,duration_months,short_cycle,model,qi,Di,b,r_squared,low_confidence,low_confidence_reason,EUR,hc_sequence,NPV,IRR,payback_months
Mahihkan Battery 02-21,ABWI103043406504W400,1,2022-07-01,6,False,exponential,846.815588586776,0.1463635190093491,0.0,0.7060491033863381,False,,3635.022515761597,1,1012276.5511732659,,0.0
Mahihkan Battery 02-21,ABWI103043506504W400,3,2024-12-01,19,False,exponential,136.8732530600245,0.0773181452452178,0.0,0.6145057057272928,False,,1416.2085766913435,1,255410.3606239723,8.161430373810381,5.0
Mahihkan Battery 02-21,ABWI103050306604W400,2,2024-04-01,23,False,harmonic,129.98920775526906,0.0680159608929346,1.0,0.5130283682983217,False,,1840.0330305626571,1,380702.3077173649,9.069985076714856,5.0
Mahihkan Battery 02-21,ABWI103051006604W400,3,2024-03-01,7,False,exponential,687.6781647125227,0.3781090512536899,0.0,0.9182746546891668,False,,2029.369823657872,1,479144.8948663809,,0.0
Mahihkan Battery 02-21,ABWI103052206504W400,5,2024-08-01,12,False,harmonic,126.23803161759014,0.108461290164729,1.0,0.7453428662131361,False,,1006.8177785125512,1,129071.349318644,4.184047291014412,5.0
Mahihkan Battery 02-21,ABWI103052206504W400,7,2026-01-01,6,False,exponential,41.27833501551907,0.4666354456690164,0.0,0.91595196393984,False,,103.96521149602184,2,-165111.5796504209,-0.9998952585234875,
Mahihkan Battery 02-21,ABWI103052306504W400,4,2024-10-01,7,False,exponential,627.2750320243977,0.1339124385352866,0.0,0.8781761698820508,False,,3044.703207176634,1,812269.2241418503,,0.0
Mahihkan Battery 02-21,ABWI103052606504W400,2,2024-02-01,7,False,harmonic,285.46801126172363,1.1576558008853273,1.0,0.9132424925387962,False,,696.3779322901117,1,33102.85300238517,3.024450945347989,4.0
Mahihkan Battery 02-21,ABWI103052606504W400,4,2025-08-01,9,False,exponential,177.07960799838798,0.3520313021076039,0.0,0.9061754726998762,False,,571.6376436567882,2,-9193.10181602855,-0.1715796828519287,
Mahihkan Battery 02-21,ABWI103052806504W400,1,2022-05-01,8,False,harmonic,507.3820894752267,0.2958461311022368,1.0,0.6832892237894508,False,,2271.59533570562,1,554140.1979060742,876434797.96716,1.0
Mahihkan Battery 02-21,ABWI103052806504W400,2,2023-01-01,11,False,harmonic,401.60594705396073,0.2283890464247274,1.0,0.8610125601278507,False,,2359.669936986013,2,576314.0065458106,90542.67712544427,1.0
Mahihkan Battery 02-21,ABWI103052806504W400,3,2023-12-01,9,False,harmonic,231.46237278624992,0.0970728428208236,1.0,0.6938150934965228,False,,1552.4574316654384,3,311904.8144202695,130.32846373012376,2.0
Mahihkan Battery 02-21,ABWI103053406504W400,1,2023-12-01,6,False,exponential,536.3059791796194,0.2200837042252477,0.0,0.8980319302948545,False,,1989.951354808279,1,464710.4470930443,223822414579.98206,1.0
Mahihkan Battery 02-21,ABWI103053406504W400,2,2024-06-01,7,False,harmonic,391.5900287879034,0.7023600368372452,1.0,0.9057205915397244,False,,1175.179856373638,2,192497.06775401774,2147.728335399307,1.0
Mahihkan Battery 02-21,ABWI103060306604W400,3,2024-06-01,6,False,harmonic,541.6995278201573,0.148774949711665,1.0,0.944209346016056,False,,2455.490967244653,1,618277.0245150743,2158992180189.6377,1.0
